dimension,MDP_ID,wind_param,sol_method,l1_norm,no_solutions,solver_time
4,71,0.8,IP,0.0,3.0,0.38587307929992676
4,71,0.8,IP,1.0,3.0,0.5597019195556641
4,71,0.8,IP,7.0,5.0,0.7078781127929688
4,71,0.8,IP,0.0,2.0,0.2537667751312256
4,71,0.8,IP,1.0,2.0,0.7053022384643555
4,71,0.8,IP,2.0,5.0,0.6194891929626465
4,71,0.8,IP,1.0,2.0,0.2636730670928955
4,71,0.8,IP,2.0,2.0,0.26482605934143066
4,71,0.8,IP,1.0,5.0,1.255040168762207
4,71,0.8,IP,3.0,4.0,0.9644007682800293
4,71,0.8,IP,1.0,1.0,0.30071306228637695
4,71,0.8,IP,0.0,1.0,0.14354205131530762
4,71,0.8,IP,4.0,3.0,0.3664267063140869
4,71,0.8,IP,1.0,4.0,0.5396862030029297
4,71,0.8,IP,5.0,5.0,0.6153266429901123
4,71,0.8,IP,1.0,4.0,0.7800877094268799
4,71,0.8,IP,0.0,3.0,0.3812592029571533
4,71,0.8,IP,3.0,2.0,0.252119779586792
4,71,0.8,IP,1.0,1.0,0.30626797676086426
4,71,0.8,IP,4.0,3.0,0.3559858798980713
4,71,0.8,IP,1.0,3.0,0.6715071201324463
4,71,0.8,IP,0.0,2.0,0.2468891143798828
4,71,0.8,IP,4.0,4.0,0.48714423179626465
4,71,0.8,IP,0.0,1.0,0.1255502700805664
4,71,0.8,IP,0.0,3.0,0.3759291172027588
4,71,0.8,IP,1.0,2.0,0.4684145450592041
4,71,0.8,IP,3.0,4.0,0.5204451084136963
4,71,0.8,IP,1.0,1.0,0.2955939769744873
4,71,0.8,IP,3.0,5.0,0.829599142074585
4,71,0.8,IP,0.0,5.0,0.6376795768737793
4,71,0.8,IP,3.0,4.0,0.5639748573303223
4,71,0.8,IP,1.0,5.0,0.9726943969726562
4,71,0.8,IP,3.0,6.0,0.7975852489471436
4,71,0.8,IP,0.0,3.0,0.37725377082824707
4,71,0.8,IP,3.0,5.0,0.7081713676452637
4,71,0.8,IP,4.0,4.0,0.4999580383300781
4,71,0.8,IP,0.0,2.0,0.270465612411499
4,71,0.8,IP,2.0,4.0,0.5241949558258057
4,71,0.8,IP,2.0,4.0,0.502192497253418
4,71,0.8,IP,3.0,4.0,0.9534912109375
4,71,0.8,IP,1.0,3.0,0.41029810905456543
4,71,0.8,IP,1.0,3.0,0.7677810192108154
4,71,0.8,IP,1.0,2.0,0.6198959350585938
4,71,0.8,IP,1.0,1.0,0.14407110214233398
4,71,0.8,IP,4.0,4.0,0.49915409088134766
4,71,0.8,IP,0.0,3.0,0.3858642578125
4,71,0.8,IP,3.0,5.0,1.028334379196167
4,71,0.8,IP,4.0,4.0,0.5004045963287354
4,71,0.8,IP,4.0,4.0,0.5013976097106934
4,71,0.8,IP,1.0,3.0,0.38843536376953125
4,71,0.8,IP,3.0,2.0,0.4178130626678467
4,71,0.8,IP,4.0,6.0,0.7512075901031494
4,71,0.8,IP,4.0,5.0,0.6145932674407959
4,71,0.8,IP,2.0,3.0,0.3876519203186035
4,71,0.8,IP,1.0,5.0,0.6901233196258545
4,71,0.8,IP,4.0,3.0,0.3789496421813965
4,71,0.8,IP,2.0,2.0,0.24391770362854004
4,71,0.8,IP,5.0,2.0,0.5102989673614502
4,71,0.8,IP,1.0,2.0,0.6905620098114014
4,71,0.8,IP,1.0,1.0,0.502626895904541
4,71,0.8,IP,0.0,3.0,0.381533145904541
4,71,0.8,IP,1.0,2.0,0.440183162689209
4,71,0.8,IP,5.0,4.0,0.6048343181610107
4,71,0.8,IP,1.0,5.0,1.2328009605407715
4,71,0.8,IP,1.0,7.0,1.2425496578216553
4,71,0.8,IP,7.0,5.0,1.0256357192993164
4,71,0.8,IP,3.0,2.0,0.2638580799102783
4,71,0.8,IP,1.0,3.0,0.39584827423095703
4,71,0.8,IP,0.0,4.0,0.508814811706543
4,71,0.8,IP,4.0,3.0,0.3649909496307373
4,71,0.8,IP,1.0,4.0,0.6735789775848389
4,71,0.8,IP,4.0,4.0,0.4924018383026123
4,71,0.8,IP,3.0,4.0,0.6519787311553955
4,71,0.8,IP,1.0,5.0,0.7743961811065674
4,71,0.8,IP,2.0,3.0,0.37041187286376953
4,71,0.8,IP,8.0,3.0,0.365131139755249
4,71,0.8,IP,5.0,5.0,1.0313279628753662
4,71,0.8,IP,0.0,3.0,0.3887670040130615
4,71,0.8,IP,3.0,4.0,0.5401201248168945
4,71,0.8,IP,1.0,4.0,0.698068380355835
4,71,0.8,IP,0.0,4.0,0.4904191493988037
4,71,0.8,IP,1.0,3.0,0.7485425472259521
4,71,0.8,IP,0.0,3.0,0.3932228088378906
4,71,0.8,IP,2.0,2.0,0.24015498161315918
4,71,0.8,IP,3.0,6.0,0.7692077159881592
4,71,0.8,IP,0.0,3.0,0.394456148147583
4,71,0.8,IP,3.0,6.0,1.074235439300537
4,71,0.8,IP,2.0,2.0,0.2442319393157959
4,71,0.8,IP,2.0,3.0,0.37280893325805664
4,71,0.8,IP,2.0,7.0,0.8546614646911621
